knee_flexion,knee_valgus,hip_flexion,trunk_inclination,ankle_dorsiflexion,landing_symmetry,risk
12.95,18.35,14.08,9.16,15.15,38.78,High
40.65,9.03,36.23,15.58,21.24,58.7,Moderate
36.62,9.59,32.4,14.13,28.83,37.75,Moderate
68.26,6.1,48.96,2.21,40.39,51.27,Low
56.18,7.62,46.36,7.67,30.11,40.13,Low
54.36,5.57,48.41,9.74,35.01,47.23,Low
23.39,9.79,20.11,25.49,10.25,33.04,High
55.8,5.74,43.55,3.39,37.3,54.29,Low
26.71,9.92,19.23,23.97,17.79,26.76,High
58.43,14.21,49.43,13.76,27.47,48.72,Moderate
55.06,6.49,38.44,11.41,26.99,54.26,Low
44.97,8.61,35.97,16.33,22.46,59.47,Moderate
36.56,4.79,39.82,12.32,39.85,50.74,Moderate
55.63,9.45,45.7,7.54,31.84,53.33,Low
60.51,7.19,40.04,5.88,29.43,45.41,Low
18.41,10.86,29.06,12.37,44.36,68.98,High
40.71,10.39,31.93,17.1,26.88,62.51,Moderate
43.0,7.16,36.95,1.95,38.11,49.45,Low
52.11,5.61,49.51,11.24,34.26,45.68,Low
24.03,20.04,17.97,27.17,32.36,65.36,High
42.88,8.74,35.76,16.44,20.27,43.64,Moderate
56.4,2.12,37.5,4.96,47.18,50.05,Low
39.54,5.49,45.61,9.59,34.46,49.08,Moderate
52.21,4.32,53.14,7.5,41.12,50.35,Low
50.82,7.49,40.9,9.46,31.61,34.19,Moderate
48.15,4.41,32.68,18.13,44.45,53.73,Moderate
17.38,13.11,24.67,20.45,43.77,28.75,High
38.14,9.43,34.34,18.83,20.23,41.58,Moderate
74.38,5.37,40.94,12.55,41.07,51.74,Low
46.11,7.92,48.24,13.04,38.13,43.26,Low
43.0,6.12,43.35,7.71,35.65,51.9,Low
22.92,11.73,13.47,25.17,35.27,39.4,High
22.41,20.7,24.14,10.95,18.03,35.85,High
34.17,8.04,42.25,13.19,31.89,45.35,Moderate
25.42,17.54,31.98,12.17,41.95,28.48,High
40.86,3.93,38.34,11.78,31.03,49.88,Low
47.28,13.42,35.95,6.97,36.0,59.25,Moderate
15.51,14.62,15.65,29.0,35.53,36.08,High
43.0,5.82,42.06,10.61,35.87,40.68,Low
41.97,6.42,45.12,6.77,22.76,43.39,Low
39.98,10.11,37.19,18.94,29.79,60.54,Moderate
37.77,8.32,45.9,10.86,36.02,52.64,Moderate
52.69,6.8,55.17,7.3,32.12,49.75,Low
25.11,9.46,19.83,23.72,43.4,28.27,High
44.9,2.75,34.45,2.91,39.04,47.75,Low
47.31,5.55,49.38,11.88,26.83,57.07,Low
37.87,12.04,39.49,16.87,33.1,44.84,Moderate
57.42,7.23,32.83,19.71,20.14,40.85,Moderate
37.06,4.52,44.16,9.03,25.21,49.36,Moderate
52.83,5.59,47.21,21.68,36.29,43.44,Moderate
70.67,5.22,43.14,8.91,39.34,55.99,Low
35.51,9.09,31.94,21.07,21.18,42.16,Moderate
59.46,3.72,40.26,10.06,32.08,47.0,Low
12.76,16.75,29.38,18.25,10.89,33.76,High
56.56,11.86,35.65,12.37,41.11,48.85,Low
11.78,12.09,17.38,29.46,23.36,70.73,High
20.23,6.0,23.22,4.67,22.52,72.81,High
17.76,14.51,15.61,34.84,8.55,33.69,High
34.59,6.4,44.36,11.1,30.62,53.14,Moderate
28.22,6.21,16.28,16.87,20.84,25.68,High
70.2,5.8,58.66,8.51,36.19,45.87,Low
63.9,8.96,34.87,10.73,46.63,39.8,Low
47.32,9.5,42.06,11.87,37.26,56.48,Low
11.59,13.68,29.19,34.81,45.4,69.66,High
24.73,16.98,29.2,23.96,47.31,35.97,High
19.85,9.49,27.77,27.19,31.23,33.96,High
28.47,8.15,29.13,13.49,18.35,70.43,High
45.36,13.65,42.16,11.2,35.16,52.45,Moderate
52.25,12.67,36.96,10.25,43.32,45.5,Low
53.1,12.82,48.6,16.68,37.93,45.05,Moderate
27.01,13.58,21.87,8.53,11.95,31.64,High
42.92,11.2,31.89,20.23,23.84,62.27,Moderate
15.01,18.86,28.63,28.32,11.53,26.86,High
58.9,5.0,42.75,6.55,33.36,62.48,Low
28.03,11.73,29.82,24.04,42.03,35.88,High
17.5,9.51,22.12,5.06,42.92,28.35,High
61.08,5.85,46.82,6.7,24.44,42.43,Low
62.01,3.27,42.01,8.74,27.38,49.23,Low
60.58,11.19,48.14,14.27,29.35,49.84,Low
59.03,13.23,46.56,12.48,36.47,42.87,Low
21.6,21.92,21.05,20.85,34.89,28.21,High
15.72,20.28,28.55,19.95,47.76,33.82,High
18.54,10.54,30.11,10.73,15.63,33.43,High
25.77,12.67,22.81,20.45,28.85,35.97,High
39.07,12.13,35.12,15.62,18.69,62.71,Moderate
61.52,12.85,41.92,9.74,24.66,40.56,Low
63.18,9.5,37.98,9.52,27.39,43.66,Low
52.34,13.59,43.81,8.56,29.65,40.2,Moderate
42.82,10.1,36.59,16.73,22.17,60.02,Moderate
41.39,9.74,37.21,19.3,29.34,59.48,Moderate
38.35,10.14,36.99,17.09,27.89,38.43,Moderate
36.82,9.8,35.83,19.03,33.04,58.13,Moderate
50.79,11.89,40.33,7.63,26.47,56.61,Moderate
38.37,5.27,44.58,11.19,41.02,48.86,Moderate
59.47,7.39,36.41,9.41,27.17,33.45,Moderate
37.92,12.26,34.13,21.61,23.58,58.87,Moderate
45.96,10.57,36.78,18.0,23.03,59.58,Moderate
67.66,3.48,34.0,3.89,33.09,56.34,Low
43.04,9.13,40.89,22.79,24.31,51.46,Moderate
52.92,8.44,50.9,8.7,32.67,60.26,Low
57.89,4.15,44.84,8.37,47.86,44.5,Low
56.47,8.15,45.33,23.3,35.98,48.27,Moderate
36.41,10.1,33.16,16.93,32.76,57.25,Moderate
62.18,5.73,42.8,7.44,34.41,43.36,Low
36.2,5.02,46.1,9.02,42.58,56.37,Moderate
21.45,14.01,27.53,8.46,21.31,62.71,High
59.28,6.86,47.34,7.35,43.34,36.43,Low
49.65,8.39,46.93,12.39,36.6,46.95,Low
17.05,7.35,17.75,8.15,31.47,62.25,High
49.25,7.97,39.78,22.09,37.08,57.8,Moderate
34.43,8.3,43.23,12.43,37.8,57.23,Moderate
50.96,12.59,40.5,6.44,39.46,53.12,Moderate
66.24,7.33,34.0,11.14,37.66,59.01,Low
35.74,9.99,35.78,19.42,25.1,63.86,High
55.52,4.08,42.77,22.73,39.86,49.77,Moderate
37.96,11.52,33.5,17.35,28.54,63.66,High
23.36,7.89,24.65,12.73,27.2,63.89,High
41.27,8.42,37.16,18.97,34.37,57.68,Moderate
46.82,4.95,42.22,8.59,32.43,40.56,Low
63.02,3.8,40.92,6.19,37.29,43.93,Low
21.51,7.62,15.32,18.98,34.4,36.56,High
50.22,4.55,45.51,6.64,38.46,46.55,Low
40.43,8.54,36.31,18.14,23.64,37.25,Moderate
18.7,16.37,27.22,9.88,9.12,28.34,High
47.39,13.4,45.78,11.51,27.77,57.52,Moderate
23.66,13.9,24.63,21.76,34.21,24.19,High
40.51,4.07,34.03,18.18,42.94,49.7,Moderate
63.36,6.42,45.59,10.3,33.0,60.29,Low
65.05,8.26,37.31,11.55,37.52,60.43,Low
19.4,15.53,28.35,8.96,14.86,32.36,High
50.69,4.65,45.05,7.42,30.25,56.03,Low
43.0,4.06,39.27,8.83,20.74,56.06,Low
60.66,12.35,39.06,6.93,31.31,54.89,Low
17.82,11.78,12.65,34.82,27.7,39.8,High
26.56,6.3,30.93,25.83,29.53,28.6,High
22.35,6.74,21.24,30.73,44.93,34.63,High
36.16,7.14,35.54,10.35,32.26,43.97,Moderate
49.16,7.88,45.07,7.36,43.57,53.76,Low
16.56,15.9,28.13,28.17,48.25,28.39,High
